DEBUG : 2021-07-02 18:25:26,773 I2s loop starts...
DEBUG : 2021-07-02 18:25:26,777 I2s objects created...
INFO : 2021-07-02 19:09:10,916 (61.51, 2544.0)
INFO : 2021-07-02 19:09:12,978 (61.54, 2545.0)
INFO : 2021-07-02 19:09:15,041 (61.71, 2543.0)
INFO : 2021-07-02 19:09:17,125 (61.7, 2550.0)
INFO : 2021-07-02 19:09:19,233 (61.81, 2548.0)
INFO : 2021-07-02 19:09:21,307 (62.62, 2553.0)
INFO : 2021-07-02 19:09:23,377 (48.95, 2613.0)
INFO : 2021-07-02 19:09:25,440 (62.04, 2544.0)
INFO : 2021-07-02 19:09:27,508 (61.72, 2547.0)
INFO : 2021-07-02 19:09:29,571 (63.27, 2564.0)
INFO : 2021-07-02 19:09:31,642 (62.78, 2562.0)
INFO : 2021-07-02 19:09:33,740 (61.63, 2546.0)
INFO : 2021-07-02 19:09:35,822 (61.52, 2543.0)
INFO : 2021-07-02 19:09:37,892 (62.04, 2546.0)
INFO : 2021-07-02 19:09:39,956 (61.51, 2548.0)
INFO : 2021-07-02 19:09:42,018 (61.79, 2539.0)
INFO : 2021-07-02 19:09:44,088 (61.72, 2543.0)
INFO : 2021-07-02 19:09:46,150 (61.74, 2545.0)
INFO : 2021-07-02 19:09:48,244 (62.52, 2541.0)
INFO : 2021-07-02 19:09:50,329 (60.5, 2532.0)
INFO : 2021-07-02 19:09:52,401 (65.88, 2547.0)
INFO : 2021-07-02 19:09:54,470 (61.77, 2542.0)
INFO : 2021-07-02 19:09:56,533 (61.97, 2547.0)
INFO : 2021-07-02 19:09:58,596 (61.8, 2544.0)
INFO : 2021-07-02 19:10:00,659 (61.86, 2544.0)
INFO : 2021-07-02 19:10:02,732 (61.6, 2539.0)
INFO : 2021-07-02 19:10:04,847 (61.64, 2544.0)
INFO : 2021-07-02 19:10:06,930 (61.55, 2545.0)
INFO : 2021-07-02 19:10:09,000 (61.85, 2538.0)
INFO : 2021-07-02 19:10:11,063 (61.81, 2542.0)
INFO : 2021-07-02 19:10:13,129 (61.78, 2544.0)
INFO : 2021-07-02 19:10:15,194 (61.66, 2542.0)
INFO : 2021-07-02 19:10:17,257 (61.77, 2542.0)
INFO : 2021-07-02 19:10:19,359 (61.15, 2542.0)
INFO : 2021-07-02 19:10:21,442 (61.56, 2540.0)
INFO : 2021-07-02 19:10:23,514 (61.69, 2543.0)
INFO : 2021-07-02 19:10:25,581 (61.87, 2544.0)
INFO : 2021-07-02 19:10:27,644 (62.0, 2545.0)
INFO : 2021-07-02 19:10:29,706 (61.35, 2544.0)
INFO : 2021-07-02 19:10:31,769 (61.7, 2543.0)
INFO : 2021-07-02 19:10:33,852 (61.96, 2541.0)
INFO : 2021-07-02 19:10:35,969 (62.7, 2553.0)
INFO : 2021-07-02 19:10:38,045 (64.92, 2543.0)
INFO : 2021-07-02 19:10:40,121 (62.51, 2546.0)
INFO : 2021-07-02 19:10:42,184 (62.17, 2543.0)
INFO : 2021-07-02 19:10:44,247 (64.7, 2554.0)
INFO : 2021-07-02 19:10:46,302 (61.75, 2545.0)
INFO : 2021-07-02 19:10:48,385 (62.09, 2544.0)
INFO : 2021-07-02 19:10:50,481 (61.61, 2548.0)
INFO : 2021-07-02 19:10:52,556 (61.67, 2548.0)
INFO : 2021-07-02 19:10:54,626 (61.43, 2543.0)
INFO : 2021-07-02 19:10:56,694 (61.68, 2545.0)
INFO : 2021-07-02 19:10:58,757 (61.79, 2546.0)
INFO : 2021-07-02 19:11:00,819 (61.63, 2541.0)
INFO : 2021-07-02 19:11:02,882 (61.85, 2542.0)
INFO : 2021-07-02 19:11:04,996 (61.88, 2549.0)
INFO : 2021-07-02 19:11:07,073 (64.89, 2542.0)
INFO : 2021-07-02 19:11:09,143 (61.71, 2542.0)
INFO : 2021-07-02 19:11:11,206 (61.97, 2543.0)
INFO : 2021-07-02 19:11:13,269 (61.74, 2541.0)
INFO : 2021-07-02 19:11:15,332 (61.77, 2546.0)
INFO : 2021-07-02 19:11:17,394 (61.72, 2541.0)
INFO : 2021-07-02 19:11:19,480 (61.54, 2543.0)
INFO : 2021-07-02 19:11:21,568 (61.66, 2544.0)
INFO : 2021-07-02 19:11:23,644 (61.45, 2541.0)
INFO : 2021-07-02 19:11:25,715 (61.47, 2543.0)
INFO : 2021-07-02 19:11:27,778 (61.96, 2545.0)
INFO : 2021-07-02 19:11:29,845 (61.92, 2546.0)
INFO : 2021-07-02 19:11:31,911 (62.09, 2545.0)
INFO : 2021-07-02 19:11:34,019 (61.43, 2542.0)
INFO : 2021-07-02 19:11:36,124 (62.39, 2544.0)
INFO : 2021-07-02 19:11:38,212 (61.39, 2543.0)
INFO : 2021-07-02 19:11:40,287 (62.0, 2547.0)
INFO : 2021-07-02 19:11:42,354 (61.71, 2545.0)
INFO : 2021-07-02 19:11:44,417 (62.02, 2546.0)
INFO : 2021-07-02 19:11:46,480 (61.61, 2546.0)
INFO : 2021-07-02 19:11:48,543 (61.94, 2546.0)
INFO : 2021-07-02 19:11:50,631 (61.76, 2549.0)
INFO : 2021-07-02 19:11:52,722 (61.99, 2545.0)
INFO : 2021-07-02 19:11:54,795 (61.86, 2543.0)
INFO : 2021-07-02 19:11:56,870 (61.74, 2549.0)
INFO : 2021-07-02 19:11:58,934 (61.84, 2547.0)
INFO : 2021-07-02 19:12:00,997 (61.81, 2549.0)
INFO : 2021-07-02 19:12:03,071 (62.29, 2550.0)
INFO : 2021-07-02 19:12:05,142 (62.08, 2549.0)
INFO : 2021-07-02 19:12:07,246 (62.45, 2562.0)
INFO : 2021-07-02 19:12:09,352 (61.24, 2540.0)
INFO : 2021-07-02 19:12:11,422 (63.04, 2549.0)
INFO : 2021-07-02 19:12:13,493 (61.68, 2548.0)
INFO : 2021-07-02 19:12:15,556 (62.13, 2547.0)
INFO : 2021-07-02 19:12:17,618 (62.22, 2547.0)
DEBUG : 2021-07-02 19:12:18,360 I2s loop stops...

DEBUG : 2021-07-02 19:12:25,226 I2s loop starts...
DEBUG : 2021-07-02 19:12:25,229 I2s objects created...
INFO : 2021-07-02 19:12:26,355 (0.0, 2457.0)
INFO : 2021-07-02 19:12:28,424 (61.01, 2554.0)
INFO : 2021-07-02 19:12:30,520 (61.83, 2562.0)
INFO : 2021-07-02 19:12:32,592 (61.76, 2559.0)
INFO : 2021-07-02 19:12:34,664 (61.88, 2555.0)
INFO : 2021-07-02 19:12:36,734 (61.44, 2544.0)
INFO : 2021-07-02 19:12:38,799 (61.43, 2547.0)
INFO : 2021-07-02 19:12:40,863 (62.04, 2553.0)
INFO : 2021-07-02 19:12:42,928 (61.51, 2549.0)
INFO : 2021-07-02 19:12:45,014 (61.78, 2549.0)
INFO : 2021-07-02 19:12:47,105 (61.81, 2554.0)
INFO : 2021-07-02 19:12:49,178 (61.61, 2550.0)
INFO : 2021-07-02 19:12:51,244 (61.8, 2551.0)
INFO : 2021-07-02 19:12:53,314 (61.47, 2550.0)
INFO : 2021-07-02 19:12:55,378 (62.15, 2549.0)
INFO : 2021-07-02 19:12:57,443 (62.04, 2549.0)
INFO : 2021-07-02 19:12:59,530 (61.54, 2551.0)
INFO : 2021-07-02 19:13:01,614 (61.94, 2551.0)
INFO : 2021-07-02 19:13:03,691 (61.74, 2550.0)
INFO : 2021-07-02 19:13:05,760 (61.94, 2552.0)
INFO : 2021-07-02 19:13:07,825 (62.05, 2554.0)
INFO : 2021-07-02 19:13:09,895 (61.11, 2546.0)
INFO : 2021-07-02 19:13:11,964 (62.06, 2553.0)
DEBUG : 2021-07-02 19:13:12,977 I2s loop stops...

DEBUG : 2021-07-02 19:13:34,106 I2s loop starts...
DEBUG : 2021-07-02 19:13:34,109 I2s objects created...
INFO : 2021-07-02 19:13:35,242 (0.0, 2463.0)
INFO : 2021-07-02 19:13:37,306 (60.84, 2558.0)
INFO : 2021-07-02 19:13:39,407 (61.72, 2563.0)
INFO : 2021-07-02 19:13:41,488 (61.95, 2560.0)
INFO : 2021-07-02 19:13:43,559 (62.17, 2557.0)
INFO : 2021-07-02 19:13:45,629 (61.63, 2555.0)
INFO : 2021-07-02 19:13:47,693 (62.05, 2557.0)
INFO : 2021-07-02 19:13:49,757 (62.36, 2556.0)
INFO : 2021-07-02 19:13:51,822 (62.08, 2557.0)
INFO : 2021-07-02 19:13:53,922 (62.19, 2558.0)
INFO : 2021-07-02 19:13:56,009 (61.71, 2553.0)
INFO : 2021-07-02 19:13:58,082 (62.21, 2554.0)
INFO : 2021-07-02 19:14:00,149 (62.43, 2558.0)
INFO : 2021-07-02 19:14:02,218 (62.06, 2557.0)
INFO : 2021-07-02 19:14:04,283 (61.88, 2553.0)
INFO : 2021-07-02 19:14:06,347 (62.35, 2564.0)
INFO : 2021-07-02 19:14:08,433 (62.06, 2555.0)
INFO : 2021-07-02 19:14:10,519 (61.87, 2552.0)
INFO : 2021-07-02 19:14:12,591 (61.87, 2552.0)
INFO : 2021-07-02 19:14:14,658 (62.3, 2550.0)
INFO : 2021-07-02 19:14:16,722 (62.01, 2554.0)
INFO : 2021-07-02 19:14:18,793 (62.24, 2554.0)
INFO : 2021-07-02 19:14:20,857 (62.77, 2554.0)
INFO : 2021-07-02 19:14:22,928 (61.88, 2550.0)
INFO : 2021-07-02 19:14:25,038 (62.29, 2565.0)
INFO : 2021-07-02 19:14:27,112 (61.84, 2552.0)
INFO : 2021-07-02 19:14:29,188 (62.07, 2550.0)
INFO : 2021-07-02 19:14:31,253 (62.39, 2555.0)
INFO : 2021-07-02 19:14:33,319 (62.3, 2556.0)
INFO : 2021-07-02 19:14:35,383 (63.15, 2549.0)
DEBUG : 2021-07-02 19:14:35,531 I2s loop stops...

DEBUG : 2021-07-02 19:14:42,386 I2s loop starts...
DEBUG : 2021-07-02 19:14:42,389 I2s objects created...
INFO : 2021-07-02 19:14:43,511 (0.0, 2462.0)
INFO : 2021-07-02 19:14:45,583 (60.83, 2559.0)
INFO : 2021-07-02 19:14:47,690 (61.76, 2564.0)
INFO : 2021-07-02 19:14:49,783 (61.37, 2553.0)
INFO : 2021-07-02 19:14:51,853 (61.57, 2555.0)
INFO : 2021-07-02 19:14:53,918 (61.74, 2557.0)
INFO : 2021-07-02 19:14:55,988 (61.69, 2541.0)
